Temperature,Humidite,Pluviometrie_mm,NDVI,RendementEstime_t_ha,RendementMoyenZone_t_ha,Surface_ha,AgeCulture_jours,RatioRendement,IndiceStressThermoHydrique,ProductionTotaleEstimee_t,Ecart_NDVI_Typique,Capteur_Manuel,Capteur_Satellite,Capteur_Station_Sol,StadeCulture_Levée,StadeCulture_Maturation,StadeCulture_Récolte,StadeCulture_Semis,StadeCulture_Tallage,TypeCulture_Colza,TypeCulture_Maïs,TypeCulture_Tournesol,TypeCulture_Vigne,TypeSol_Calcaire,TypeSol_Limoneux,TypeSol_Sableux,Irrigation_Aucune,Irrigation_Goutte-à-goutte,Irrigation_Gravitaire,Region_Bourgogne-Franche-Comté,Region_Bretagne,Region_Centre-Val de Loire,Region_Grand Est,Region_Hauts-de-France,Region_Normandie,Region_Nouvelle-Aquitaine,Region_Occitanie,Region_Pays de la Loire
19.0,46.6,2.9,0.748,4.98,5.86,142.42,206,0.8498279013175746,1014.6,709.2516,0.15380000000000005,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11.4,52.4,22.4,0.9167,2.88,3.46,121.23,0,0.83236753651001,542.64,349.1424,0.3429,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
5.9,92.3,15.6,0.5087,5.41,6.48,66.64,166,0.8348752548221376,45.43000000000002,360.5224,-0.07455,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20.0,43.7,12.5,0.4231,5.54,7.59,119.63,377,0.7299068117169807,1126.0,662.7502,-0.15130000000000005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
11.0,46.1,6.4,0.5742,9.5,7.49,55.23,0,1.26835611701453,592.9,524.685,-0.00019999999999997797,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
27.6,63.9,3.9,0.7604,8.59,8.28,130.12,130,1.0374383605816901,996.3600000000001,1117.7308,0.17074999999999996,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
22.9,73.3,4.5,0.7381,4.43,2.88,175.05,121,1.5381891035100572,611.4300000000001,775.4715,0.12565000000000004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16.4,90.3,6.8,0.5865,7.28,5.2,25.39,0,1.3999973076974852,159.08000000000004,184.8392,0.024700000000000055,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13.6,94.5,22.8,0.7007,2.66,2.67,153.62,0,0.9962509503709724,74.8,408.6292,0.1269,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
8.2,48.2,1.8,0.7872,7.01,8.95,168.39,342,0.7832393483359237,424.75999999999993,1180.4138999999998,0.1894,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
