ObservationID,ParcelleID,DateObservation,Temperature,Humidite,Pluviometrie_mm,NDVI,Capteur,StadeCulture,RendementEstime_t_ha,RendementMoyenZone_t_ha,AnomalieLabel,Region,Surface_ha,TypeCulture,TypeSol,Irrigation,DateMiseEnCulture,CodePostal,AgeCulture_jours,RatioRendement,IndiceStressThermoHydrique,ProductionTotaleEstimee_t,Ecart_NDVI_Typique
OBS000001,PRC-DAB8F99BB8F1593E,2024-10-24 19:19:52,21.5,51.3,14.8,0.6627,Manuel,Récolte,2.09,3.09,0,Bretagne,23.15,Tournesol,Limoneux,Aspersion,2025-04-09,22300,0,0.6763732156206614,1047.05,48.38349999999999,0.06489999999999996
OBS000002,PRC-94C7BD9D5352ADCC,2024-05-30 16:15:55,17.1,85.5,6.8,0.4558,Drone,Levée,4.14,3.57,0,Hauts-de-France,8.68,Colza,Limoneux,Gravitaire,2025-03-02,80000,0,1.1596606171971506,247.95000000000002,35.935199999999995,-0.118
OBS000003,PRC-2A18CE0C3BE14A86,2025-10-21 20:14:37,15.6,71.4,0.3,0.6985,Satellite,Maturation,4.05,2.99,0,Normandie,122.47,Colza,Argileux,Aucune,2024-04-24,27000,545,1.3545105200317054,446.1599999999999,496.0035,0.10399999999999998
OBS000004,PRC-BCF8DF9EFE3D752B,2025-10-16 18:52:25,10.9,58.9,3.8,0.4121,Station_Sol,Récolte,9.39,7.7,0,Auvergne-Rhône-Alpes,74.59,Blé,Sableux,Goutte-à-goutte,2024-02-09,38000,615,1.219478935741642,447.99,700.4001000000001,-0.1742499999999999
OBS000005,PRC-C99C68BADD9D5C39,2024-03-30 19:54:57,12.2,62.5,10.5,0.6393,Satellite,Levée,10.52,8.94,0,Bretagne,19.82,Maïs,Argileux,Aucune,2024-05-13,29000,0,1.1767324645050734,457.5,208.50639999999999,0.05709999999999993
OBS000006,PRC-955E4AAF48591C4D,2025-07-25 07:21:22,26.8,73.4,1.4,0.7386,Drone,Floraison,2.88,3.43,0,Nouvelle-Aquitaine,152.99,Tournesol,Limoneux,Aspersion,2024-03-01,86000,511,0.8396476978201229,712.8799999999999,440.6112,0.15154999999999996
OBS000007,PRC-13FCAA0C471E7B8E,2024-08-20 15:01:07,23.4,72.1,8.3,0.8284,Satellite,Maturation,2.35,2.17,0,Bretagne,31.57,Tournesol,Argileux,Goutte-à-goutte,2024-04-12,22000,130,1.0829443182289482,652.8600000000001,74.18950000000001,0.24630000000000007
OBS000008,PRC-ADD906A9FE02D0AA,2025-03-30 08:54:47,8.9,37.4,2.1,0.9096,Satellite,Semis,8.9,7.41,0,Occitanie,124.17,Blé,Calcaire,Goutte-à-goutte,2025-03-06,65000,24,1.201078001244263,557.14,1105.113,0.2808999999999999
OBS000009,PRC-DEE8EE7533C73C8A,2024-03-13 14:15:01,-0.1,66.1,15.5,0.794,Drone,Levée,5.51,5.38,0,Pays de la Loire,186.77,Vigne,Sableux,Goutte-à-goutte,2025-05-27,49000,0,1.0241616651270165,-3.3900000000000006,1029.1027,0.18270000000000008
OBS000010,PRC-72532E20E24EC53D,2024-10-27 15:34:22,12.4,94.1,107.8,0.9054,Station_Sol,Maturation,2.56,2.65,1,Bourgogne-Franche-Comté,107.7,Colza,Argileux,Aucune,2025-02-10,21000,0,0.9660340904373946,73.16000000000007,275.712,0.31089999999999995
OBS000011,PRC-E226A661F60AE219,2025-05-23 20:37:27,14.3,15.3,15.1,0.616,Station_Sol,Tallage,3.23,1.64,1,Pays de la Loire,169.24,Tournesol,Calcaire,Aspersion,2025-05-28,72000,0,1.9695001859744758,1211.21,546.6452,0.0
OBS000012,PRC-60B20ECA97E1439A,2025-06-06 14:34:44,27.2,75.9,0.0,0.3742,Manuel,Tallage,3.98,2.65,0,Centre-Val de Loire,172.23,Colza,Calcaire,Gravitaire,2024-05-25,36000,377,1.5018811249768869,655.5199999999999,685.4753999999999,-0.22729999999999995
OBS000013,PRC-2D78C3F5CA1A6421,2024-09-16 12:38:49,17.9,91.8,3.3,0.3859,Satellite,Floraison,2.82,3.03,0,Nouvelle-Aquitaine,100.96,Colza,Limoneux,Goutte-à-goutte,2025-05-19,33000,0,0.9306899977227798,146.78000000000003,284.70719999999994,-0.22654999999999992
OBS000014,PRC-16C08D56CF763B43,2024-11-14 20:05:11,7.3,50.5,5.4,0.3011,Manuel,Maturation,8.71,8.84,0,Pays de la Loire,27.59,Maïs,Calcaire,Aucune,2025-03-15,85000,0,0.9852930030622139,361.34999999999997,240.30890000000002,-0.3007
OBS000015,PRC-0A5F6668A0AEFB99,2025-01-08 05:51:57,5.0,93.5,1.1,0.5732,Station_Sol,Maturation,8.91,8.13,0,Grand Est,145.83,Blé,Argileux,Goutte-à-goutte,2024-03-28,68000,286,1.0959396113903919,32.5,1299.3453000000002,-0.010050000000000003
OBS000016,PRC-2B9BE45BE55B7F65,2024-04-01 06:59:34,20.4,70.4,1.4,0.5092,Drone,Tallage,9.5,7.03,0,Nouvelle-Aquitaine,93.66,Blé,Calcaire,Gravitaire,2025-04-09,64000,0,1.351349429090428,603.8399999999998,889.77,-0.06520000000000004
OBS000017,PRC-BCF208093EF6668D,2025-09-19 07:21:15,21.2,90.3,8.2,0.6223,Station_Sol,Maturation,9.34,9.47,0,Pays de la Loire,44.02,Maïs,Argileux,Gravitaire,2024-03-13,53000,555,0.9862713978126738,205.64000000000004,411.14680000000004,0.020499999999999963
OBS000018,PRC-32896692D1736837,2025-08-27 17:48:34,25.2,57.6,2.6,0.6085,Station_Sol,Maturation,3.92,3.09,0,Bretagne,72.6,Colza,Sableux,Aspersion,2025-03-19,29000,161,1.26860430872392,1068.48,284.592,0.014000000000000012
OBS000019,PRC-C09DC48B487A5F15,2024-04-12 11:05:19,15.2,93.0,5.1,0.569,Station_Sol,Levée,8.32,7.88,0,Occitanie,125.51,Blé,Calcaire,Aspersion,2025-03-02,81000,0,1.055836223558092,106.39999999999999,1044.2432000000001,-0.05515000000000003
OBS000020,PRC-A5472DAEE61D3D12,2024-10-06 08:29:11,14.6,90.3,17.2,0.5903,Satellite,Récolte,11.63,9.33,0,Occitanie,4.57,Maïs,Limoneux,Aspersion,2025-02-19,65000,0,1.2465152770468628,141.62000000000003,53.149100000000004,0.0
OBS000021,PRC-09CF410658EC03E2,2024-10-20 16:58:53,12.3,77.6,18.8,0.5537,Satellite,Récolte,4.22,3.23,0,Auvergne-Rhône-Alpes,187.48,Colza,Sableux,Gravitaire,2024-02-11,07000,252,1.3064975031037054,275.5200000000001,791.1655999999999,-0.04590000000000005
OBS000022,PRC-AD4829449EE84235,2025-07-13 13:38:00,21.8,41.9,1.4,0.459,Station_Sol,Floraison,5.23,6.23,0,Normandie,153.91,Vigne,Limoneux,Goutte-à-goutte,2025-04-26,76000,78,0.8394850088523133,1266.5800000000002,804.9493,-0.10279999999999995
OBS000023,PRC-0A44086EAF59C5AB,2025-10-05 13:06:48,10.7,41.6,103.4,0.5716,Satellite,Maturation,9.64,7.3,1,Bourgogne-Franche-Comté,132.65,Blé,Limoneux,Aucune,2025-02-12,71000,235,1.3205461362381696,624.88,1278.746,-0.01165000000000005
